Date,Order,temp_2015,temp_2016,temp_2017,temp_2018,temp_2019,temp_2020,temp_2021,temp_2022,,
21-Jun,a,,0.02,,,,,0.00,0.02,,
22-Jun,acv,,0.02,,,,,0.00,0.02,,
23-Jun,adc,,0.02,,,,,0.00,0.02,,
24-Jun,b,,0.02,,,,,0.00,0.02,,
25-Jun,bdz,,0.02,,,,,0.00,0.02,,
26-Jun,c,,0.02,,,,,0.00,0.02,,
27-Jun,cba,,0.02,,,,,0.00,0.02,,
28-Jun,d,,0.02,,,,,0.00,0.02,,
29-Jun,dbb,,0.02,,,,,0.00,0.02,,
30-Jun,dcb,,0.02,,,,,0.00,0.02,,
1-Jul,e,,0.02,,,,,0.00,0.02,,
2-Jul,ebc,,0.02,,,,,0.00,0.02,,1.38
3-Jul,ecc,,0.02,,,,,0.00,0.02,,1.038704246
4-Jul,edc,,0.02,,,,,0.00,0.02,,
5-Jul,f,,0.02,,,,,0.00,0.02,,
6-Jul,fcd,,0.02,,,,,0.00,0.02,,
7-Jul,fdd,,0.02,,,,,0.00,0.02,,
8-Jul,fed,,0.02,,,,,0.00,0.02,,
9-Jul,fjk,,0.02,,,,,0.00,0.02,,
10-Jul,g,,0.02,,,,,0.00,0.02,,
11-Jul,gde,,0.02,,,,,0.00,0.02,,
12-Jul,gee,,0.02,,,,,0.00,0.02,,
13-Jul,gfe,,0.02,,,,,0.00,0.02,,
14-Jul,h,,0.02,,,,,0.00,0.02,,
15-Jul,hef,,0.02,,,,,0.00,0.02,,
16-Jul,hff,,0.02,,,,,0.23,0.02,,
17-Jul,hgf,,0.02,,,,,0.35,0.02,,
18-Jul,i,,0.02,,,,,0.48,0.05,,
19-Jul,ifg,,0.03,,,,,0.58,0.26,,
20-Jul,igg,,0.03,,,,,0.64,0.38,,
21-Jul,ihg,,0.02,,,,,0.87,0.46,,
22-Jul,j,,0.12,,,,,0.83,0.54,,
23-Jul,jgh,,0.33,,,,,0.94,0.57,,
24-Jul,jhh,,0.42,,,,,1.24,0.63,,
25-Jul,jih,,0.58,,,,,1.25,0.65,,
26-Jul,k,,0.82,,,,,1.49,0.75,,
27-Jul,khi,,1.01,,,,,1.70,0.81,,
28-Jul,kii,,1.25,,,,,1.53,0.79,,
29-Jul,kji,,1.78,,,,,1.76,1.11,,
30-Jul,l,,2.26,,,,,2.12,1.28,,
31-Jul,lij,,2.61,,,,,1.68,1.46,,
1-Aug,ljj,,2.43,,,,,2.03,1.72,,
2-Aug,lkj,,3.16,,,,,1.61,1.56,,
3-Aug,m,,,,,,,1.83,1.63,,
4-Aug,mjk,,,,,,,2.05,1.67,,
5-Aug,mkk,,,,,,,2.25,1.24,,
6-Aug,mlk,,,,,,,1.30,1.41,,
7-Aug,n,2.14,,,,,,1.97,1.70,,
8-Aug,nkl,1.09,,,,,,,1.67,,
9-Aug,nll,1.98,,,,,,2.34,,,
10-Aug,nml,2.44,,,,,0.44,2.59,,,
11-Aug,o,2.94,,,,,0.42,2.97,,,
12-Aug,olm,2.78,,,,,0.59,3.17,,,
13-Aug,omm,3.00,,,,,0.59,3.23,,,
14-Aug,onm,2.83,,,,,0.56,3.01,,,
15-Aug,p,2.73,,,,,0.66,2.92,,,
16-Aug,pmn,2.41,,,,,0.81,2.75,,,
17-Aug,pnn,2.62,,,,,1.01,2.28,,,
18-Aug,pon,1.93,,,,,1.11,1.13,,,
19-Aug,q,3.00,,,,,1.19,1.19,,,
20-Aug,qno,3.08,,,,,1.00,0.67,,,
21-Aug,qoo,2.85,,,,,1.01,0.85,,,
22-Aug,qpo,2.52,,,,,1.40,1.13,,,
23-Aug,r,2.90,,,,,1.46,2.06,,,
24-Aug,rop,3.28,,,,,1.59,1.88,,,
25-Aug,rpp,3.39,,,,,1.92,2.68,,,
26-Aug,rqp,2.58,,,,,1.68,2.00,,,
27-Aug,s,3.40,,,,,1.73,2.07,,,
28-Aug,spq,3.39,,,,,1.61,2.08,,,
29-Aug,sqq,3.81,,,,,1.62,2.33,,,
30-Aug,srq,3.16,,,,,1.42,2.61,,,
31-Aug,t,2.59,,,,,0.01,2.52,,,
1-Sep,tqr,3.67,,,,,1.72,2.72,,,
2-Sep,trr,3.91,,,,,2.52,2.26,,,
3-Sep,tsr,3.40,,,,,2.11,2.32,,,
4-Sep,u,3.08,,,,,2.03,2.00,,,
5-Sep,urs,1.72,,,,,2.30,2.75,,,
6-Sep,uss,0.95,,,,,1.76,2.83,,,
7-Sep,uts,1.82,,,,,1.22,2.86,,,
8-Sep,v,2.20,,,,,0.00,3.07,,,
9-Sep,vst,3.02,,,,,0.25,3.46,,,
10-Sep,vtt,3.47,,,,,0.29,3.37,,,
11-Sep,vut,3.55,,,,,0.26,2.46,,,
12-Sep,w,3.58,,,,,0.25,2.40,,,
13-Sep,wtu,3.34,,,,,0.30,2.42,,,
14-Sep,wuu,3.14,,,,,0.51,2.25,,,
15-Sep,wvu,1.25,,,,,0.80,2.28,,,
16-Sep,x,0.09,,,,,1.15,1.96,,,
17-Sep,xuv,0.20,,,,,1.45,2.04,,,
18-Sep,xvv,0.40,,,,,1.46,2.86,,,
19-Sep,xwv,0.48,,,,,0.74,0.79,,,
20-Sep,xy,0.44,,,,,0.69,0.19,,,
21-Sep,y,0.57,,,,,1.60,0.51,,,
22-Sep,yvw,1.19,,,,,1.93,0.53,,,
,,,,,,,,1.39,,,