,site,full_name,source,year,mean_jul_temp,mean_max_jul_temp,mean_min_jul_temp,mean_jul_temp_range
1,cloudveil,Cloudveil,glacier,2020,1.288252688,1.388645161,1.202290323,0.186354839
2,cloudveil,Cloudveil,glacier,2021,2.817140369,3.244451613,2.467354839,0.777096774
3,cloudveil,Cloudveil,glacier,2022,2.323952957,2.727193548,2.005290323,0.721903226
4,death_canyon,NA,NA,2017,0.917539315,1.091193548,0.855741935,0.235451613
5,delta,Delta,glacier,2018,1.879846774,2.530774194,1.540129032,0.990645161
6,delta,Delta,glacier,2019,1.939673611,2.651433333,1.568466667,1.082966667
7,delta,Delta,glacier,2020,2.123642473,3.515354839,1.50416129,2.011193548
8,delta,Delta,glacier,2022,2.003376344,2.943354839,1.572483871,1.370870968
9,grizzly,Grizzly,snowmelt,2019,0.791790278,1.5922,0.301333333,1.290866667
10,grizzly,Grizzly,snowmelt,2020,1.377969086,2.952064516,0.453387097,2.498677419
11,grizzly,Grizzly,snowmelt,2021,6.867487903,11.89232258,3.779419355,8.112903226
12,grizzly,Grizzly,snowmelt,2022,3.57025,6.639870968,1.565451613,5.074419355
13,gusher,Gusher,sub_ice,2021,3.347274194,4.882032258,2.482483871,2.399548387
14,gusher,Gusher,sub_ice,2022,2.953459677,4.149516129,2.243580645,1.905935484
15,mid_teton,Middle Teton,glacier,2016,1.619866071,2.748214286,1.043571429,1.704642857
16,mid_teton,Middle Teton,glacier,2018,1.852436828,3.115225806,1.215096774,1.900129032
17,mid_teton,Middle Teton,glacier,2019,1.487153226,2.176806452,1.132354839,1.044451613
18,mid_teton,Middle Teton,glacier,2020,1.663627688,2.721096774,1.096290323,1.624806452
19,mid_teton,Middle Teton,glacier,2021,2.099043011,3.054129032,1.641322581,1.412806452
20,mid_teton,Middle Teton,glacier,2022,1.642837366,2.361741935,1.322870968,1.038870968
21,n_teton,North Teton,snowmelt,2016,5.662459677,8.279354839,3.800967742,4.478387097
22,n_teton,North Teton,snowmelt,2018,2.758072222,3.5675,2.266066667,1.301433333
23,n_teton,North Teton,snowmelt,2019,1.688110215,1.884870968,1.573548387,0.311322581
24,n_teton,North Teton,snowmelt,2020,2.476287634,3.160387097,2.033677419,1.126709677
25,n_teton,North Teton,snowmelt,2021,8.19499328,11.10374194,6.094548387,5.009193548
26,n_teton,North Teton,snowmelt,2022,5.093606183,6.779129032,3.781774194,2.997354839
27,paintbrush,Paintbrush,snowmelt,2019,1.553176389,2.365633333,1.084533333,1.2811
28,paintbrush,Paintbrush,snowmelt,2020,2.489637097,3.823870968,1.562580645,2.261290323
29,paintbrush,Paintbrush,snowmelt,2021,6.768407258,9.863322581,4.871645161,4.991677419
30,paintbrush,Paintbrush,snowmelt,2022,4.609358871,6.781387097,3.123774194,3.657612903
31,peterson,NA,NA,2016,0.667259615,1.598461538,0.161538462,1.436923077
32,quad_cr,NA,NA,2018,6.855318548,10.54983871,4.004290323,6.545548387
33,s_ak_basin,S. AK Basin,sub_ice,2017,1.379670363,1.527806452,1.291967742,0.23583871
34,s_ak_basin,S. AK Basin,sub_ice,2019,1.61975,1.643,1.588,0.055
35,s_ak_basin,S. AK Basin,sub_ice,2020,1.376270161,1.603548387,1.268903226,0.334645161
36,s_ak_basin,S. AK Basin,sub_ice,2021,1.761950269,1.819193548,1.727806452,0.091387097
37,s_ak_basin,S. AK Basin,sub_ice,2022,1.793299731,1.897870968,1.744387097,0.153483871
38,s_cascade,South Cascade,sub_ice,2016,0.374663978,0.668709677,0.164193548,0.504516129
39,s_cascade,South Cascade,sub_ice,2021,0.570178763,1.433322581,0.123967742,1.309354839
40,s_cascade,South Cascade,sub_ice,2022,0.327314516,0.741741935,0.077645161,0.664096774
41,s_teton,South Teton,snowmelt,2018,3.352092742,6.690290323,1.334870968,5.355419355
42,s_teton,South Teton,snowmelt,2019,1.901451389,3.555266667,0.921666667,2.6336
43,s_teton,South Teton,snowmelt,2020,3.129865591,6.161483871,1.285903226,4.875580645
44,s_teton,South Teton,snowmelt,2021,8.707077957,14.88325806,4.686354839,10.19690323
45,s_teton,South Teton,snowmelt,2022,5.424052419,9.869709677,2.453548387,7.41616129
46,schoolroom,NA,NA,2017,0.880932124,0.892806452,0.86983871,0.022967742
47,silver_run,Silver Run,snowmelt,2017,5.735619792,10.833875,2.25125,8.582625
48,silver_run,Silver Run,snowmelt,2018,5.178069892,10.64645161,1.520612903,9.12583871
49,silver_run,Silver Run,snowmelt,2019,5.867091398,12.25206452,1.843129032,10.40893548
50,silver_run,Silver Run,snowmelt,2020,6.545017473,12.23293548,2.526516129,9.706419355
51,silver_run,Silver Run,snowmelt,2021,7.45546371,12.1576129,4.008548387,8.149064516
52,skillet,Skillet,glacier,2019,2.633133065,3.91583871,1.766580645,2.149258065
53,skillet,Skillet,glacier,2020,2.404334677,3.625516129,1.592483871,2.033032258
54,skillet,Skillet,glacier,2022,4.433319892,6.864064516,2.870451613,3.993612903
55,windcave,Wind Cave,sub_ice,2016,2.876209677,3.280645161,2.580645161,0.7
56,windcave,Wind Cave,sub_ice,2021,3.688799731,4.370419355,3.216709677,1.153709677