year,site,deployment_plus1,retrieval_minus1
2015,peterson,8/5/15,7/26/16
2015,s_cascade,8/7/15,8/2/16
2015,mica,8/5/15,7/26/16
2015,s_ak_basin,8/6/15,8/1/16
2015,mid_teton,8/9/15,7/28/16
2015,windcave,8/10/15,8/5/16
2015,n_teton,8/11/15,8/4/16
2016,paintbrush,7/27/16,8/5/17
2016,mid_teton,7/30/16,8/4/17
2016,death_canyon,8/2/16,8/10/17
2016,s_ak_basin,8/3/16,8/11/17
2016,s_teton,8/3/16,8/12/17
2016,s_cascade,8/4/16,8/3/18
2016,schoolroom,8/4/16,8/12/17
2016,n_teton,8/6/16,8/7/17
2016,windcave,8/6/16,8/7/17
2017,mid_teton,8/6/17,8/1/18
2017,delta,8/6/17,8/1/18
2017,grizzly,8/8/17,8/2/18
2017,paintbrush,8/7/17,8/3/18
2017,n_teton,8/9/17,7/29/18
2017,windcave,8/9/17,7/30/18
2017,s_teton,8/14/17,8/3/18
2017,s_ak_basin,8/13/17,8/2/18
2018,windcave,8/1/18,7/28/18
2018,n_teton,7/31/18,8/1/19
2018,delta,8/3/18,7/27/19
2018,mid_teton,8/3/18,7/31/19
2018,grizzly,8/4/18,7/29/19
2018,paintbrush,8/5/18,7/30/19
2018,s_teton,8/5/18,7/30/19
2018,s_cascade,8/5/18,7/30/19
2018,s_ak_basin,8/4/18,7/29/19
2018,skillet,8/7/18,8/1/19
2019,delta,7/29/19,8/8/20
2019,windcave,7/30/19,8/5/20
2019,grizzly,7/31/19,8/6/20
2019,paintbrush,8/1/19,8/7/20
2019,mid_teton,8/2/19,8/9/20
2019,cloudveil,8/2/19,8/9/20
2019,s_ak_basin,7/31/19,8/9/20
2019,s_cascade,8/1/19,8/8/20
2019,s_teton,8/1/19,8/9/20
2019,skillet,8/3/19,8/10/20
2019,n_teton,8/3/19,8/6/20
2020,windcave,8/7/20,8/5/21
2020,grizzly,8/8/20,8/11/21
2020,paintbrush,8/9/20,8/12/21
2020,gusher,8/9/20,8/12/21
2020,delta,8/10/20,8/10/21
2020,cloudveil,8/11/20,8/9/21
2020,mid_teton,8/11/20,8/9/21
2020,skillet,8/12/20,8/8/21
2020,s_cascade,8/10/20,8/7/21
2020,s_teton,8/11/20,8/7/21
2020,n_teton,8/8/20,8/4/21
2020,s_ak_basin,8/11/20,8/6/21
2017,silver_run,7/24/17,7/31/21
2017,quad_cr,8/2/17,8/4/18
2018,quad_cr,8/7/18,8/1/21
2021,windcave,8/7/21,8/6/22
2021,s_teton,8/9/21,8/7/22
2021,n_teton,8/6/21,8/11/22
2021,s_ak_basin,8/8/21,8/7/22
2021,s_cascade,8/9/21,8/8/22
2021,mid_teton,8/11/21,8/10/22
2021,cloudveil,8/11/21,8/10/22
2021,delta,8/12/21,8/11/22
2021,grizzly,8/13/21,8/12/22
2021,gusher,8/14/21,8/13/22
2021,skillet,8/10/21,8/9/22
2021,paintbrush,8/14/21,8/12/22
2022,s_ak_basin,8/9/22,8/8/23
2022,s_teton,8/9/22,8/8/23
2022,windcave,8/8/22,8/5/23
2022,s_cascade,8/10/22,8/9/23
2022,mid_teton,8/12/22,8/11/23
2022,cloudveil,8/12/22,8/11/23
2022,delta,8/13/22,8/6/23
2022,n_teton,8/13/22,8/6/23
2022,gusher,8/15/22,8/13/23
2022,paintbrush,8/14/22,8/12/23
2023,skillet,8/12/23,8/10/24
2023,s_ak_basin,8/10/23,8/6/24
2023,s_teton,8/10/23,no data (corrupt logger)
2023,windcave,8/7/23,8/7/24
2023,s_cascade,8/11/23,8/7/24
2023,mid_teton,8/13/23,8/11/24
2023,cloudveil,8/13/23,8/11/24
2023,delta,8/8/23,8/8/24
2023,n_teton,8/8/23,8/5/24
2023,grizzly,8/14/23,8/11/24
2023,gusher,8/15/23,8/11/24
2023,paintbrush,8/14/23,8/11/24
2024,skillet,8/12/24,
2024,s_ak_basin,8/8/24,9/5/24
2024,s_teton,8/8/24,
2024,windcave,8/9/24,
2024,s_cascade,8/9/24,9/6/24
2024,mid_teton,8/13/24,9/4/24
2024,cloudveil,8/13/24,9/4/24
2024,delta,8/10/24,9/4/24
2024,n_teton,8/7/24,9/7/24
2024,grizzly,8/13/24,
2024,gusher,8/13/24,
2024,paintbrush,8/13/24,